	Glo01	Glo02	Glo03	Glo04	Glo05	Glo06	Glo07	Glo08	Glo09	Glo10	Glo11	Glo12	Glo13	Glo14	Glo15	Glo16	Glo17	Glo18	Glo19	Glo20	Glo21	Glo22	Glo23	Glo24	Glo25	Glo26	Glo27	Glo28	Glo29	Glo30	Glo31	Glo32	Glo33	Glo34	Glo35	Glo36	Glo37	Glo38	Glo39	Glo40	Glo41	Glo42	Glo43	Glo44	Glo45	Glo46	Glo47	Glo48	Glo49
LN030	0.015	0.015	0.033	0.003	0.003	0.018	0.003	0.012	0.015	0.000	0.024	0.052	0.021	0.006	0.027	0.018	0.046	0.030	0.000	0.003	0.021	0.036	0.015	0.009	0.000	0.006	0.027	0.085	0.015	0.009	0.021	0.027	0.012	0.018	0.043	0.018	0.036	0.021	0.070	0.009	0.027	0.000	0.036	0.061	0.009	0.000	0.006	0.000	0.012
LN031	0.088	0.088	0.031	0.000	0.005	0.005	0.031	0.031	0.031	0.010	0.005	0.046	0.010	0.000	0.015	0.062	0.005	0.010	0.036	0.000	0.005	0.010	0.005	0.026	0.052	0.036	0.031	0.052	0.010	0.031	0.005	0.005	0.000	0.000	0.010	0.010	0.015	0.000	0.015	0.015	0.000	0.026	0.010	0.021	0.010	0.031	0.000	0.010	0.046
LN032	0.079	0.079	0.000	0.004	0.009	0.009	0.022	0.007	0.052	0.022	0.035	0.006	0.006	0.013	0.009	0.061	0.026	0.015	0.041	0.000	0.033	0.015	0.013	0.009	0.006	0.035	0.072	0.042	0.006	0.017	0.002	0.006	0.007	0.024	0.004	0.000	0.013	0.002	0.009	0.015	0.037	0.000	0.006	0.028	0.000	0.037	0.020	0.000	0.050
LN033	0.037	0.037	0.013	0.001	0.010	0.016	0.021	0.015	0.039	0.018	0.019	0.046	0.009	0.013	0.036	0.059	0.009	0.013	0.021	0.000	0.007	0.025	0.072	0.012	0.037	0.032	0.041	0.021	0.007	0.013	0.011	0.029	0.005	0.007	0.019	0.019	0.017	0.007	0.020	0.047	0.027	0.013	0.000	0.018	0.009	0.002	0.010	0.007	0.038
LN034	0.039	0.039	0.020	0.000	0.012	0.008	0.027	0.027	0.004	0.020	0.062	0.062	0.020	0.004	0.027	0.008	0.012	0.027	0.008	0.000	0.020	0.023	0.016	0.008	0.008	0.027	0.027	0.066	0.016	0.004	0.012	0.000	0.039	0.035	0.043	0.004	0.008	0.023	0.055	0.000	0.016	0.000	0.016	0.027	0.004	0.008	0.035	0.012	0.023
LN035	0.028	0.028	0.023	0.000	0.019	0.000	0.009	0.014	0.019	0.000	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.023	0.106	0.032	0.023	0.060	0.042	0.009	0.023	0.032	0.023	0.014	0.014	0.023	0.009	0.014	0.065	0.032	0.014	0.028	0.019	0.019	0.051	0.028	0.028	0.023	0.028
LN036	0.100	0.100	0.009	0.002	0.012	0.000	0.009	0.037	0.030	0.016	0.005	0.060	0.000	0.000	0.002	0.005	0.000	0.005	0.000	0.000	0.000	0.021	0.084	0.007	0.044	0.005	0.091	0.005	0.000	0.026	0.007	0.023	0.005	0.019	0.007	0.007	0.019	0.028	0.009	0.037	0.019	0.000	0.005	0.028	0.023	0.035	0.035	0.000	0.021
LN037	0.030	0.073	0.001	0.005	0.000	0.000	0.004	0.007	0.013	0.002	0.015	0.004	0.018	0.021	0.060	0.102	0.040	0.014	0.001	0.000	0.049	0.003	0.060	0.009	0.078	0.027	0.055	0.013	0.000	0.005	0.006	0.024	0.008	0.026	0.008	0.008	0.037	0.010	0.004	0.022	0.052	0.004	0.000	0.049	0.012	0.006	0.003	0.006	0.006
LN038	0.036	0.035	0.024	0.001	0.019	0.023	0.040	0.008	0.011	0.011	0.023	0.079	0.007	0.011	0.024	0.032	0.031	0.008	0.001	0.015	0.015	0.039	0.001	0.000	0.000	0.032	0.034	0.080	0.008	0.017	0.011	0.025	0.012	0.011	0.025	0.034	0.032	0.007	0.025	0.017	0.025	0.017	0.013	0.029	0.021	0.004	0.005	0.000	0.019
LN039	0.024	0.060	0.019	0.004	0.013	0.011	0.035	0.022	0.011	0.015	0.022	0.028	0.006	0.009	0.026	0.050	0.020	0.009	0.017	0.011	0.007	0.034	0.084	0.013	0.026	0.013	0.028	0.022	0.015	0.019	0.011	0.020	0.013	0.011	0.024	0.011	0.013	0.000	0.060	0.030	0.026	0.007	0.013	0.017	0.002	0.013	0.017	0.009	0.028
