	Glo01	Glo02	Glo03	Glo04	Glo05	Glo06	Glo07	Glo08	Glo09	Glo10	Glo11	Glo12	Glo13	Glo14	Glo15	Glo16	Glo17	Glo18	Glo19	Glo20	Glo21	Glo22	Glo23	Glo24	Glo25	Glo26	Glo27	Glo28	Glo29	Glo30	Glo31	Glo32	Glo33	Glo34	Glo35	Glo36	Glo37	Glo38	Glo39	Glo40	Glo41	Glo42	Glo43	Glo44	Glo45	Glo46	Glo47	Glo48	Glo49
LN081	0.033	0.033	0.016	0.005	0.006	0.015	0.051	0.016	0.041	0.012	0.051	0.070	0.005	0.005	0.055	0.073	0.023	0.024	0.002	0.001	0.009	0.025	0.021	0.005	0.006	0.003	0.036	0.016	0.008	0.010	0.011	0.031	0.003	0.012	0.029	0.016	0.001	0.013	0.061	0.037	0.027	0.000	0.001	0.009	0.001	0.013	0.017	0.000	0.040
LN082	0.058	0.058	0.029	0.002	0.014	0.015	0.018	0.000	0.030	0.001	0.014	0.058	0.008	0.007	0.004	0.018	0.024	0.021	0.004	0.006	0.018	0.041	0.000	0.004	0.004	0.021	0.055	0.062	0.013	0.016	0.019	0.027	0.010	0.015	0.023	0.029	0.009	0.002	0.073	0.036	0.039	0.018	0.010	0.023	0.013	0.017	0.007	0.005	0.001
LN083	0.048	0.048	0.021	0.010	0.018	0.016	0.039	0.006	0.029	0.000	0.017	0.063	0.005	0.011	0.016	0.026	0.023	0.010	0.000	0.004	0.011	0.040	0.002	0.004	0.003	0.033	0.048	0.065	0.014	0.015	0.021	0.030	0.011	0.001	0.027	0.019	0.022	0.014	0.035	0.045	0.052	0.002	0.005	0.033	0.014	0.012	0.005	0.003	0.006
LN084	0.030	0.068	0.014	0.007	0.005	0.003	0.016	0.018	0.026	0.006	0.038	0.051	0.008	0.005	0.024	0.049	0.039	0.015	0.008	0.000	0.011	0.021	0.066	0.004	0.015	0.040	0.096	0.023	0.017	0.021	0.017	0.014	0.007	0.006	0.025	0.025	0.025	0.003	0.011	0.047	0.033	0.004	0.003	0.006	0.006	0.004	0.006	0.003	0.012
LN085	0.019	0.072	0.004	0.004	0.000	0.000	0.017	0.015	0.025	0.018	0.014	0.074	0.011	0.010	0.026	0.068	0.040	0.012	0.010	0.006	0.008	0.025	0.086	0.007	0.016	0.027	0.058	0.022	0.005	0.027	0.007	0.013	0.006	0.004	0.018	0.011	0.016	0.007	0.006	0.061	0.063	0.008	0.006	0.008	0.013	0.005	0.005	0.003	0.016
LN086	0.023	0.122	0.004	0.005	0.002	0.000	0.022	0.008	0.026	0.000	0.017	0.062	0.020	0.009	0.015	0.006	0.034	0.017	0.000	0.001	0.011	0.023	0.012	0.004	0.000	0.077	0.104	0.042	0.018	0.028	0.020	0.025	0.000	0.003	0.016	0.017	0.009	0.000	0.048	0.041	0.054	0.006	0.010	0.011	0.011	0.004	0.001	0.007	0.007
LN087	0.023	0.124	0.006	0.006	0.015	0.002	0.019	0.009	0.014	0.000	0.039	0.053	0.016	0.008	0.012	0.004	0.029	0.016	0.000	0.003	0.017	0.016	0.022	0.000	0.000	0.089	0.132	0.025	0.018	0.023	0.010	0.023	0.003	0.001	0.019	0.013	0.017	0.000	0.025	0.047	0.056	0.001	0.012	0.009	0.015	0.001	0.005	0.004	0.000
LN088	0.020	0.077	0.014	0.005	0.012	0.003	0.024	0.019	0.021	0.017	0.022	0.042	0.015	0.006	0.026	0.070	0.060	0.015	0.008	0.004	0.017	0.017	0.070	0.011	0.040	0.040	0.036	0.042	0.013	0.019	0.010	0.017	0.009	0.009	0.020	0.018	0.015	0.005	0.005	0.013	0.024	0.001	0.014	0.011	0.006	0.006	0.012	0.000	0.020
LN089	0.020	0.047	0.001	0.004	0.001	0.000	0.013	0.013	0.019	0.030	0.039	0.068	0.014	0.009	0.030	0.097	0.050	0.017	0.012	0.001	0.002	0.031	0.097	0.003	0.028	0.007	0.020	0.008	0.009	0.018	0.004	0.004	0.000	0.003	0.043	0.012	0.031	0.009	0.020	0.048	0.043	0.012	0.004	0.008	0.019	0.001	0.007	0.004	0.020
LN090	0.021	0.093	0.011	0.004	0.005	0.005	0.015	0.014	0.025	0.017	0.026	0.044	0.013	0.007	0.025	0.060	0.040	0.013	0.013	0.008	0.012	0.025	0.062	0.010	0.032	0.039	0.050	0.036	0.014	0.025	0.002	0.015	0.001	0.001	0.021	0.017	0.026	0.006	0.006	0.026	0.025	0.004	0.014	0.019	0.016	0.007	0.012	0.000	0.018
LN091	0.052	0.146	0.020	0.020	0.000	0.000	0.025	0.013	0.041	0.015	0.013	0.034	0.008	0.013	0.017	0.060	0.036	0.013	0.020	0.010	0.030	0.011	0.002	0.020	0.003	0.027	0.085	0.020	0.001	0.000	0.003	0.016	0.005	0.000	0.023	0.001	0.063	0.001	0.010	0.032	0.006	0.005	0.005	0.031	0.016	0.004	0.000	0.007	0.020
LN092	0.029	0.054	0.010	0.001	0.001	0.001	0.029	0.011	0.026	0.024	0.022	0.020	0.013	0.008	0.019	0.017	0.021	0.014	0.008	0.002	0.020	0.027	0.015	0.021	0.006	0.024	0.084	0.021	0.010	0.031	0.012	0.024	0.007	0.020	0.038	0.023	0.027	0.017	0.061	0.030	0.042	0.006	0.010	0.021	0.012	0.007	0.004	0.024	0.027
LN093	0.011	0.098	0.006	0.004	0.008	0.003	0.044	0.022	0.014	0.028	0.027	0.052	0.021	0.004	0.013	0.001	0.022	0.013	0.004	0.002	0.012	0.036	0.006	0.006	0.000	0.039	0.100	0.023	0.014	0.034	0.004	0.032	0.002	0.004	0.035	0.014	0.051	0.003	0.023	0.040	0.052	0.010	0.015	0.015	0.010	0.003	0.002	0.010	0.008
LN094	0.016	0.098	0.006	0.002	0.003	0.002	0.029	0.015	0.023	0.019	0.004	0.023	0.009	0.006	0.016	0.041	0.034	0.012	0.020	0.001	0.017	0.029	0.061	0.011	0.013	0.054	0.070	0.024	0.010	0.029	0.002	0.028	0.003	0.012	0.025	0.018	0.036	0.009	0.006	0.036	0.034	0.014	0.010	0.021	0.005	0.006	0.004	0.010	0.028
LN095	0.019	0.070	0.009	0.004	0.005	0.004	0.023	0.014	0.026	0.021	0.022	0.030	0.012	0.006	0.018	0.026	0.014	0.010	0.011	0.000	0.022	0.035	0.036	0.011	0.030	0.033	0.072	0.032	0.012	0.028	0.005	0.024	0.008	0.020	0.029	0.020	0.024	0.010	0.033	0.034	0.029	0.013	0.005	0.014	0.010	0.012	0.008	0.024	0.020
LN096	0.019	0.055	0.009	0.002	0.002	0.005	0.018	0.011	0.020	0.027	0.024	0.040	0.006	0.004	0.019	0.050	0.019	0.013	0.020	0.001	0.006	0.045	0.064	0.010	0.029	0.033	0.041	0.023	0.011	0.014	0.007	0.016	0.001	0.011	0.029	0.011	0.028	0.007	0.025	0.045	0.057	0.016	0.005	0.011	0.011	0.010	0.007	0.029	0.033
LN097	0.025	0.096	0.009	0.004	0.008	0.003	0.043	0.018	0.032	0.004	0.003	0.037	0.010	0.006	0.005	0.013	0.024	0.013	0.004	0.004	0.019	0.036	0.007	0.013	0.003	0.033	0.083	0.030	0.017	0.029	0.000	0.037	0.000	0.001	0.033	0.016	0.051	0.002	0.026	0.043	0.048	0.015	0.015	0.016	0.016	0.006	0.007	0.023	0.013
LN098	0.025	0.089	0.012	0.005	0.016	0.006	0.027	0.008	0.027	0.012	0.006	0.041	0.005	0.004	0.008	0.011	0.017	0.011	0.002	0.004	0.017	0.032	0.028	0.005	0.026	0.063	0.090	0.016	0.020	0.028	0.007	0.038	0.004	0.008	0.031	0.016	0.039	0.004	0.031	0.044	0.057	0.003	0.004	0.009	0.009	0.005	0.003	0.012	0.013
LN099	0.036	0.010	0.006	0.002	0.000	0.003	0.032	0.006	0.035	0.023	0.013	0.040	0.000	0.000	0.029	0.038	0.001	0.016	0.012	0.000	0.006	0.049	0.055	0.005	0.008	0.037	0.024	0.017	0.009	0.027	0.004	0.024	0.007	0.022	0.040	0.030	0.041	0.006	0.055	0.065	0.097	0.008	0.001	0.016	0.005	0.005	0.005	0.009	0.019
LN100	0.034	0.095	0.013	0.010	0.002	0.005	0.006	0.003	0.021	0.009	0.017	0.013	0.021	0.010	0.010	0.053	0.029	0.008	0.016	0.010	0.023	0.020	0.073	0.004	0.037	0.022	0.050	0.034	0.005	0.030	0.003	0.024	0.004	0.010	0.009	0.007	0.018	0.003	0.040	0.022	0.046	0.014	0.019	0.012	0.016	0.009	0.003	0.027	0.031
LN101	0.030	0.062	0.012	0.005	0.009	0.009	0.025	0.012	0.025	0.018	0.024	0.038	0.006	0.007	0.010	0.036	0.023	0.011	0.019	0.001	0.013	0.028	0.033	0.016	0.014	0.017	0.071	0.022	0.008	0.019	0.007	0.020	0.004	0.016	0.010	0.017	0.047	0.013	0.020	0.041	0.056	0.011	0.007	0.022	0.012	0.008	0.008	0.016	0.042
LN102	0.027	0.088	0.006	0.006	0.015	0.007	0.030	0.012	0.010	0.010	0.018	0.027	0.023	0.002	0.007	0.031	0.019	0.011	0.002	0.005	0.017	0.025	0.016	0.003	0.004	0.070	0.181	0.035	0.018	0.019	0.009	0.031	0.007	0.004	0.027	0.017	0.023	0.004	0.017	0.027	0.022	0.009	0.010	0.013	0.009	0.005	0.005	0.009	0.008
LN103	0.018	0.018	0.013	0.000	0.002	0.007	0.026	0.018	0.022	0.016	0.046	0.082	0.001	0.003	0.029	0.052	0.009	0.014	0.028	0.000	0.006	0.043	0.124	0.004	0.051	0.000	0.010	0.022	0.001	0.008	0.005	0.006	0.003	0.001	0.032	0.027	0.023	0.008	0.049	0.043	0.052	0.002	0.001	0.008	0.008	0.002	0.019	0.004	0.031
LN104	0.020	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.012	0.006	0.105	0.000	0.000	0.001	0.110	0.031	0.012	0.054	0.003	0.010	0.064	0.137	0.004	0.004	0.028	0.015	0.047	0.021	0.024	0.000	0.003	0.002	0.005	0.005	0.008	0.020	0.003	0.011	0.053	0.078	0.000	0.001	0.018	0.006	0.007	0.000	0.000	0.022
LN105	0.020	0.020	0.013	0.002	0.000	0.009	0.040	0.012	0.031	0.023	0.041	0.053	0.003	0.008	0.036	0.061	0.019	0.016	0.010	0.004	0.010	0.023	0.077	0.008	0.023	0.001	0.003	0.028	0.009	0.017	0.011	0.009	0.005	0.006	0.034	0.027	0.014	0.011	0.062	0.024	0.047	0.010	0.004	0.016	0.018	0.009	0.009	0.011	0.052
LN106	0.058	0.058	0.014	0.005	0.010	0.010	0.032	0.014	0.032	0.014	0.032	0.043	0.007	0.007	0.020	0.041	0.013	0.010	0.010	0.004	0.009	0.020	0.041	0.010	0.001	0.030	0.049	0.061	0.020	0.013	0.011	0.013	0.013	0.009	0.023	0.013	0.012	0.010	0.031	0.031	0.014	0.004	0.013	0.020	0.016	0.026	0.018	0.006	0.029
LN107	0.032	0.032	0.002	0.000	0.003	0.000	0.009	0.005	0.042	0.043	0.027	0.039	0.000	0.000	0.045	0.042	0.024	0.023	0.038	0.002	0.003	0.013	0.072	0.006	0.020	0.030	0.027	0.031	0.010	0.016	0.001	0.013	0.003	0.001	0.022	0.015	0.022	0.013	0.071	0.058	0.047	0.001	0.007	0.014	0.006	0.008	0.006	0.000	0.053
LN108	0.030	0.030	0.017	0.005	0.005	0.006	0.029	0.014	0.036	0.014	0.040	0.076	0.008	0.006	0.034	0.054	0.007	0.014	0.022	0.000	0.007	0.038	0.094	0.006	0.037	0.017	0.019	0.015	0.005	0.010	0.004	0.021	0.003	0.004	0.023	0.018	0.016	0.008	0.044	0.048	0.044	0.008	0.001	0.007	0.013	0.007	0.005	0.013	0.020
LN109	0.033	0.018	0.010	0.000	0.010	0.008	0.044	0.018	0.029	0.020	0.029	0.070	0.000	0.005	0.024	0.052	0.020	0.013	0.013	0.001	0.005	0.025	0.087	0.015	0.026	0.021	0.029	0.015	0.009	0.009	0.012	0.030	0.012	0.011	0.028	0.031	0.028	0.010	0.029	0.046	0.039	0.001	0.001	0.009	0.002	0.009	0.012	0.009	0.025
LN110	0.024	0.019	0.004	0.001	0.003	0.006	0.041	0.010	0.018	0.025	0.026	0.078	0.001	0.007	0.033	0.099	0.042	0.019	0.035	0.005	0.010	0.034	0.120	0.010	0.037	0.007	0.010	0.013	0.003	0.003	0.005	0.010	0.006	0.005	0.021	0.014	0.026	0.006	0.010	0.037	0.033	0.008	0.003	0.005	0.003	0.005	0.005	0.008	0.047
LN111	0.050	0.001	0.007	0.005	0.012	0.011	0.052	0.006	0.018	0.029	0.031	0.025	0.001	0.012	0.037	0.073	0.008	0.016	0.006	0.000	0.004	0.023	0.089	0.007	0.039	0.022	0.033	0.013	0.014	0.016	0.011	0.027	0.020	0.012	0.012	0.016	0.032	0.002	0.075	0.053	0.044	0.010	0.000	0.009	0.004	0.000	0.007	0.002	0.003
LN112	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.341	0.039	0.007	0.000	0.000	0.005	0.025	0.038	0.075	0.129	0.049	0.000	0.000	0.000	0.000	0.008	0.145	0.005	0.000	0.001	0.000	0.101
LN113	0.027	0.049	0.015	0.002	0.009	0.006	0.031	0.017	0.016	0.014	0.024	0.056	0.005	0.008	0.020	0.047	0.030	0.015	0.024	0.008	0.015	0.015	0.049	0.009	0.027	0.027	0.044	0.046	0.015	0.021	0.010	0.020	0.012	0.013	0.025	0.024	0.030	0.010	0.015	0.036	0.025	0.002	0.006	0.017	0.008	0.013	0.018	0.001	0.025
LN114	0.027	0.010	0.007	0.000	0.004	0.004	0.035	0.012	0.020	0.020	0.019	0.072	0.004	0.003	0.040	0.072	0.024	0.010	0.024	0.004	0.006	0.024	0.108	0.010	0.056	0.006	0.009	0.005	0.003	0.012	0.007	0.017	0.005	0.004	0.024	0.020	0.033	0.011	0.052	0.044	0.040	0.006	0.001	0.011	0.010	0.003	0.004	0.018	0.040
LN115	0.040	0.014	0.012	0.001	0.007	0.006	0.039	0.011	0.024	0.029	0.040	0.119	0.000	0.006	0.044	0.072	0.014	0.020	0.018	0.001	0.008	0.038	0.125	0.007	0.013	0.008	0.017	0.001	0.004	0.004	0.005	0.017	0.002	0.001	0.028	0.015	0.019	0.006	0.022	0.045	0.052	0.002	0.001	0.006	0.005	0.002	0.003	0.005	0.023
